;Total;Fintech;Investment
0;159;17;0
1;189;29;1
2;209;24;1
3;281;31;3
4;248;16;0
5;266;16;0
6;265;15;1
7;180;10;0
8;206;11;0
9;225;11;0
10;168;3;0
11;193;9;0
12;161;9;0
13;161;6;0
14;166;7;1
15;174;8;0
16;132;8;2
17;113;4;0
18;103;6;0
19;95;6;0
20;121;6;0
21;117;7;0
22;117;3;0
23;120;9;0
24;26;0;0
25;14;0;0
26;8;0;0
27;5;0;0
28;4;0;0
29;3;0;0
30;5;0;0
31;6;0;0
32;5;1;0
33;6;2;0
34;6;0;0
35;5;0;0
36;6;1;0
37;13;1;0
38;12;0;0
39;17;0;0
40;29;3;0
41;33;3;1
42;276;17;1
43;613;37;0
44;654;40;0
45;655;26;0
46;663;26;0
47;625;42;0
48;582;34;0
49;683;38;0
50;766;24;0
51;678;17;0
52;669;29;0
53;595;15;0
54;625;13;0
55;643;12;1
56;622;18;0
57;571;15;0
58;599;21;1
59;796;20;0
60;814;19;0
61;831;16;0
62;970;27;0
63;856;18;0
64;904;18;0
65;869;14;0
66;945;22;1
67;926;16;0
68;898;22;0
69;847;26;1
70;706;17;1
71;772;15;1
