;Total;Fintech;Investment
0;192;34;7
1;216;41;5
2;254;66;12
3;318;92;16
4;295;98;23
5;281;94;24
6;277;89;4
7;273;80;3
8;300;77;17
9;352;85;12
10;312;87;10
11;363;87;13
12;272;62;11
13;342;81;12
14;508;120;12
15;520;109;17
16;425;85;12
17;535;88;11
18;627;122;17
19;578;90;5
20;601;91;6
21;641;112;14
22;567;105;22
23;633;133;21
24;464;75;14
25;627;108;12
26;633;124;12
27;634;134;24
28;593;112;16
29;669;134;17
30;626;119;13
31;727;141;19
32;738;119;17
33;713;129;15
34;702;141;17
35;677;164;18
36;527;112;16
37;523;109;13
38;651;153;19
39;553;121;16
40;587;125;29
41;652;121;17
42;620;164;26
43;561;159;15
44;579;124;6
45;797;161;18
46;800;212;23
47;807;242;22
48;587;154;14
49;751;180;22
50;869;219;12
51;968;210;18
52;1063;260;22
53;1174;304;28
54;1052;260;19
55;1043;234;27
56;941;214;17
57;1395;305;22
58;1274;263;22
59;1216;261;27
60;1060;234;22
61;1296;258;27
62;1388;293;28
63;1469;308;42
64;1354;246;22
65;1484;279;40
66;1511;296;19
67;1535;274;32
68;1596;328;30
69;1616;330;28
70;1452;279;33
71;1586;310;27
